,team,ID,Avg_Weighted_Score,batting_average,batting_strike_rate,bowling_average,bowling_economy_rate,bowling_strike_rate,win_ratio
1627,royal challengers bangalore,734027,21.102698809824556,28.6428534328706,122.08136214995831,27.529999999999998,6.296363636363637,20.586363636363636,0.4854545454545455
1628,royal challengers bangalore,734035,17.927659821608206,23.957349822333065,116.12064601124786,19.482727272727274,4.791818181818181,14.635454545454547,0.4454545454545454
1629,royal challengers bangalore,829713,20.641086270560564,27.865518889725248,128.49919695803885,35.28909090909091,7.618181818181818,23.07090909090909,0.4936363636363636
1630,royal challengers bangalore,829719,20.641086270560564,27.865518889725248,128.49919695803885,35.28909090909091,7.618181818181818,23.07090909090909,0.4936363636363636
1631,royal challengers bangalore,829737,21.054346990562344,30.79087048120969,126.1557520304398,25.666363636363634,5.259090909090909,18.397272727272725,0.48636363636363633
1632,royal challengers bangalore,829745,18.46271792867776,27.051960569381695,124.29970765885356,19.083636363636366,5.99,13.975454545454545,0.47909090909090907
1633,royal challengers bangalore,829749,21.122892192401046,30.294352765206863,130.26306265871358,22.765454545454546,7.89,16.773636363636363,0.5109090909090909
1634,royal challengers bangalore,829757,20.9451062342738,30.234316396568406,130.20922124508695,23.84090909090909,8.01090909090909,17.263636363636365,0.5118181818181818
1635,royal challengers bangalore,829763,21.186409927125116,28.61694574441083,128.91534242483115,23.30545454545455,8.045454545454545,16.736363636363635,0.5018181818181818
1636,royal challengers bangalore,829771,21.186409927125116,28.61694574441083,128.91534242483115,23.30545454545455,8.045454545454545,16.736363636363635,0.5018181818181818
1637,royal challengers bangalore,829779,18.067457909780803,27.190333196975164,125.17676548034417,19.083636363636366,7.171818181818182,13.975454545454545,0.5272727272727273
1638,royal challengers bangalore,829785,21.142602107752776,28.899338354141065,130.3653692154673,22.344545454545457,7.978181818181818,16.218181818181815,0.5
1639,royal challengers bangalore,829795,21.142602107752776,28.899338354141065,130.3653692154673,22.344545454545457,7.978181818181818,16.218181818181815,0.5
1640,royal challengers bangalore,829803,21.142602107752776,28.899338354141065,130.3653692154673,22.344545454545457,7.978181818181818,16.218181818181815,0.5
1641,royal challengers bangalore,829807,21.41995240200381,28.620899875010313,129.53965837913577,22.976363636363637,7.978181818181818,16.68,0.4918181818181818
1642,royal challengers bangalore,829813,21.41995240200381,28.620899875010313,129.53965837913577,22.976363636363637,7.978181818181818,16.68,0.4918181818181818
1643,royal challengers bangalore,829819,21.142602107752776,28.899338354141065,130.3653692154673,22.344545454545457,7.978181818181818,16.218181818181815,0.5
1644,royal challengers bangalore,829821,21.142602107752776,28.899338354141065,130.3653692154673,22.344545454545457,7.978181818181818,16.218181818181815,0.5
1645,royal challengers bangalore,980907,21.67905883201302,27.982109234226986,129.25366072706322,32.29636363636364,7.635454545454545,23.19909090909091,0.47272727272727283
1646,royal challengers bangalore,980921,21.785537023036625,29.592711354180295,131.2991496877666,29.30090909090909,7.6118181818181805,21.171818181818182,0.4881818181818183
1647,royal challengers bangalore,980927,22.41181350808128,31.368014956349896,129.07902306279894,27.74454545454545,7.775454545454545,19.578181818181818,0.5045454545454546
1648,royal challengers bangalore,980931,22.37395156314407,30.585822542808693,127.78836240305544,26.487272727272728,8.047272727272727,18.97909090909091,0.48454545454545456
1649,royal challengers bangalore,980937,22.422443585969646,30.99635592290735,124.9446656092704,26.39272727272727,6.793636363636363,19.05727272727273,0.4663636363636364
1650,royal challengers bangalore,980953,21.9160882084542,28.14972572604476,122.85926524079657,30.41818181818182,5.870909090909091,21.44181818181818,0.4645454545454546
1651,royal challengers bangalore,980959,24.760441059871567,31.497113945122578,126.72462747652212,30.819090909090903,6.444545454545454,22.205454545454543,0.4763636363636364
1652,royal challengers bangalore,980969,22.581336058732397,29.220332985483235,126.08739188578112,32.236363636363635,6.673636363636363,22.741818181818182,0.4936363636363636
1653,royal challengers bangalore,980977,22.447649577819035,30.99615228624128,126.55691315910794,28.597272727272728,6.584545454545454,20.332727272727272,0.5063636363636363
1654,royal challengers bangalore,980981,24.420066118400943,31.153780271601203,128.47228935831032,28.176363636363636,6.47090909090909,20.39363636363636,0.5036363636363638
1655,royal challengers bangalore,980987,24.420066118400943,31.153780271601203,128.47228935831032,28.176363636363636,6.47090909090909,20.39363636363636,0.5036363636363638
1656,royal challengers bangalore,980995,24.318161679407737,32.74770487093356,129.78389649454934,27.636363636363637,6.315454545454545,20.43090909090909,0.5127272727272726
1657,royal challengers bangalore,980999,24.420066118400943,31.153780271601203,128.47228935831032,28.176363636363636,6.47090909090909,20.39363636363636,0.5036363636363638
1658,royal challengers bangalore,981011,24.318161679407737,32.74770487093356,129.78389649454934,27.636363636363637,6.315454545454545,20.43090909090909,0.5127272727272726
1659,royal challengers bangalore,981013,24.318161679407737,32.74770487093356,129.78389649454934,27.636363636363637,6.315454545454545,20.43090909090909,0.5127272727272726
1660,royal challengers bangalore,981019,24.318161679407737,32.74770487093356,129.78389649454934,27.636363636363637,6.315454545454545,20.43090909090909,0.5127272727272726
1661,royal challengers bangalore,1082591,18.465663909697984,25.098175996476947,125.33107906854325,23.045454545454547,7.783636363636364,16.55636363636364,0.4018181818181818
1662,royal challengers bangalore,1082595,17.162160401303137,23.664525978161894,128.11143110991253,21.91090909090909,7.034545454545454,16.423636363636362,0.47909090909090907
1663,royal challengers bangalore,1082598,16.175779009568263,23.381439565903978,128.24845263730504,18.229090909090907,6.316363636363636,13.625454545454545,0.47909090909090907
1664,royal challengers bangalore,1082602,20.42487900290298,26.62228584165839,123.97522173345573,27.242727272727276,7.119090909090909,19.83,0.41727272727272724
1665,royal challengers bangalore,1082607,18.848636676674325,24.793685749514598,121.88506072890009,27.62272727272727,7.088181818181818,19.997272727272726,0.4390909090909091
1666,royal challengers bangalore,1082610,20.47553435498721,26.362165470666238,126.14016743369427,32.349999999999994,8.051818181818183,22.845454545454544,0.4454545454545455
1667,royal challengers bangalore,1082617,20.42487900290298,26.62228584165839,123.97522173345573,27.242727272727276,7.119090909090909,19.83,0.41727272727272724
1668,royal challengers bangalore,1082621,20.793381415964348,28.148092539868596,127.27270766535091,27.576363636363634,7.224545454545455,19.666363636363634,0.39545454545454545
1669,royal challengers bangalore,1082624,17.3654923347805,23.92471129293108,121.49682142134502,29.018181818181816,6.541818181818181,20.62909090909091,0.4372727272727273
1670,royal challengers bangalore,1082628,19.4246119893386,26.615866894331695,125.91685385714817,28.154545454545453,7.414545454545455,19.429090909090906,0.3963636363636363
1671,royal challengers bangalore,1082633,21.668854374070023,28.418560797981318,127.39294047007155,26.54454545454545,7.025454545454545,19.48909090909091,0.4072727272727273
1672,royal challengers bangalore,1082636,20.793381415964348,28.148092539868596,127.27270766535091,27.576363636363634,7.224545454545455,19.666363636363634,0.39545454545454545
1673,royal challengers bangalore,1082646,19.778521615577343,25.172621262634653,128.34809939755434,27.569090909090907,6.53,19.716363636363635,0.5018181818181818
1674,royal challengers bangalore,1136563,21.540609227463346,26.9816307889589,126.77715924925327,22.673636363636366,7.421818181818182,15.907272727272728,0.509090909090909
1675,royal challengers bangalore,1136568,21.540609227463346,26.9816307889589,126.77715924925327,22.673636363636366,7.421818181818182,15.907272727272728,0.509090909090909
1676,royal challengers bangalore,1136571,21.12805828275099,26.067404039471704,125.56313758332537,25.184545454545457,6.500909090909091,17.821818181818184,0.4972727272727273
1677,royal challengers bangalore,1136574,19.697436257428127,25.834983708859397,124.11844901086096,25.324545454545454,8.292727272727273,17.538181818181815,0.4936363636363636
1678,royal challengers bangalore,1136579,20.201223013123204,25.492361138977614,123.5543211019936,25.324545454545454,6.656363636363636,17.538181818181815,0.489090909090909
1679,royal challengers bangalore,1136584,19.60597411479515,25.11464840897166,125.32569932995979,30.675454545454542,7.361818181818182,21.39181818181818,0.4736363636363637
